    /um         	  
3.333333e-02	7.287685e+00
6.666667e-02	8.469069e+00
9.999999e-02	8.179297e+00
1.333333e-01	7.803445e+00
1.666667e-01	7.237880e+00
2.000000e-01	6.737180e+00
2.333334e-01	6.487495e+00
2.666667e-01	6.321204e+00
3.000000e-01	5.930821e+00
3.333333e-01	6.170937e+00
3.666667e-01	5.716355e+00
4.000000e-01	5.660971e+00
4.333333e-01	5.448422e+00
4.666667e-01	5.346768e+00
5.000000e-01	5.366070e+00
5.333333e-01	5.170632e+00
5.666667e-01	4.975503e+00
6.000000e-01	4.806594e+00
6.333333e-01	5.013713e+00
6.666667e-01	4.799421e+00
7.000000e-01	4.848651e+00
7.333333e-01	5.064963e+00
7.666667e-01	4.979456e+00
8.000000e-01	4.913287e+00
8.333333e-01	4.800547e+00
8.666667e-01	4.731015e+00
9.000000e-01	4.509578e+00
9.333334e-01	4.611835e+00
9.666666e-01	4.532276e+00
1.000000e+00	4.445403e+00
1.033333e+00	4.267789e+00
1.066667e+00	4.216004e+00
1.100000e+00	4.136061e+00
1.133333e+00	4.043744e+00
1.166667e+00	4.182886e+00
1.200000e+00	4.411848e+00
1.233333e+00	4.410570e+00
1.266667e+00	4.277045e+00
1.300000e+00	4.266675e+00
1.333333e+00	4.103399e+00
1.366667e+00	4.743310e+00
1.400000e+00	5.021941e+00
1.433333e+00	5.008989e+00
1.466667e+00	4.974001e+00
1.500000e+00	3.950208e+00
1.533333e+00	4.201660e+00
1.566667e+00	4.206403e+00
1.600000e+00	4.096138e+00
1.633333e+00	3.992127e+00
1.666667e+00	4.109899e+00
1.700000e+00	4.120014e+00
1.733333e+00	3.934011e+00
1.766667e+00	4.057166e+00
1.800000e+00	3.826118e+00
1.833333e+00	4.085005e+00
1.866667e+00	3.951096e+00
1.900000e+00	4.111262e+00
1.933333e+00	3.681408e+00
1.966667e+00	3.978873e+00
2.000000e+00	3.971146e+00
2.033333e+00	3.791960e+00
2.066667e+00	3.851642e+00
2.100000e+00	3.817517e+00
2.133333e+00	4.003407e+00
2.166667e+00	3.972220e+00
2.200000e+00	3.843869e+00
2.233334e+00	3.474638e+00
2.266667e+00	3.516632e+00
2.300000e+00	3.667226e+00
2.333333e+00	3.511463e+00
2.366667e+00	3.596670e+00
2.400000e+00	3.468716e+00
2.433333e+00	3.880650e+00
2.466667e+00	3.450669e+00
2.500000e+00	3.551595e+00
2.533333e+00	3.618011e+00
2.566667e+00	3.547724e+00
2.600000e+00	3.450385e+00
2.633333e+00	3.522833e+00
2.666667e+00	3.548187e+00
2.700000e+00	3.371552e+00
2.733333e+00	3.477278e+00
2.766667e+00	4.261178e+00
2.800000e+00	3.985253e+00
2.833333e+00	4.416171e+00
2.866667e+00	3.300405e+00
2.900000e+00	4.123647e+00
2.933333e+00	3.233112e+00
2.966667e+00	3.893455e+00
3.000000e+00	3.893198e+00
3.033333e+00	3.631356e+00
3.066667e+00	3.903838e+00
3.100000e+00	4.116312e+00
3.133333e+00	3.189418e+00
3.166667e+00	3.656532e+00
3.200000e+00	3.551473e+00
3.233333e+00	3.041849e+00
3.266667e+00	3.380035e+00
3.300000e+00	3.263832e+00
3.333333e+00	3.486247e+00
3.366667e+00	3.387162e+00
3.400000e+00	3.693647e+00
3.433333e+00	3.310771e+00
3.466667e+00	3.578077e+00
3.500000e+00	3.210188e+00
3.533333e+00	3.016848e+00
3.566667e+00	3.564503e+00
3.600000e+00	3.383888e+00
3.633333e+00	3.000801e+00
3.666667e+00	3.101973e+00
3.700000e+00	3.158494e+00
3.733334e+00	3.411906e+00
3.766667e+00	3.123192e+00
3.800000e+00	3.050912e+00
3.833333e+00	3.487666e+00
3.866667e+00	3.614186e+00
3.900000e+00	4.099892e+00
3.933333e+00	4.367464e+00
3.966667e+00	3.915178e+00
4.000000e+00	3.793653e+00
4.033333e+00	2.950900e+00
4.066667e+00	3.135974e+00
4.100000e+00	3.662977e+00
4.133333e+00	3.600819e+00
4.166667e+00	3.489228e+00
4.200000e+00	4.032903e+00
4.233333e+00	3.840154e+00
4.266667e+00	4.028566e+00
4.300000e+00	4.216668e+00
4.333333e+00	4.155564e+00
4.366667e+00	4.294849e+00
4.400000e+00	4.170116e+00
4.433333e+00	4.117728e+00
4.466667e+00	4.104799e+00
4.500000e+00	4.077194e+00
4.533333e+00	3.962032e+00
4.566667e+00	3.912872e+00
4.600000e+00	3.867615e+00
4.633334e+00	3.892966e+00
4.666667e+00	3.944540e+00
4.700000e+00	3.877532e+00
4.733333e+00	3.830736e+00
4.766667e+00	3.845496e+00
4.800000e+00	3.926691e+00
4.833333e+00	3.747995e+00
4.866667e+00	3.728576e+00
4.900000e+00	3.723337e+00
4.933333e+00	3.656663e+00
4.966667e+00	3.743052e+00
5.000000e+00	3.691829e+00
5.033333e+00	3.713355e+00
5.066667e+00	3.721683e+00
5.100000e+00	3.793763e+00
5.133333e+00	3.609126e+00
5.166667e+00	3.656875e+00
5.200000e+00	3.564284e+00
5.233333e+00	3.580135e+00
5.266667e+00	3.561150e+00
5.300000e+00	3.646450e+00
5.333333e+00	3.617236e+00
5.366667e+00	3.527818e+00
5.400000e+00	3.612251e+00
5.433333e+00	3.397565e+00
5.466667e+00	3.678304e+00
5.500000e+00	3.630233e+00
5.533333e+00	3.547235e+00
5.566667e+00	3.650633e+00
