freq(/um)	log10(PSD/nm^4)
3.333333e-02	8.265872e+00
6.666667e-02	8.265279e+00
9.999999e-02	8.262707e+00
1.333333e-01	8.255785e+00
1.666667e-01	8.183731e+00
2.000000e-01	8.090319e+00
2.333334e-01	8.001257e+00
2.666667e-01	7.950877e+00
3.000000e-01	7.835726e+00
3.333333e-01	7.634682e+00
3.666667e-01	7.383642e+00
4.000000e-01	7.189752e+00
4.333333e-01	6.918073e+00
4.666667e-01	6.692832e+00
5.000000e-01	6.500499e+00
5.333333e-01	6.337684e+00
5.666667e-01	6.216670e+00
6.000000e-01	6.113961e+00
6.333333e-01	6.019543e+00
6.666667e-01	5.930643e+00
7.000000e-01	5.846210e+00
7.333333e-01	5.765770e+00
7.666667e-01	5.688969e+00
8.000000e-01	5.615504e+00
8.333333e-01	5.545105e+00
8.666667e-01	5.477538e+00
9.000000e-01	5.412591e+00
9.333334e-01	5.350075e+00
9.666666e-01	5.289823e+00
1.000000e+00	5.231680e+00
1.033333e+00	5.175507e+00
1.066667e+00	5.121175e+00
1.100000e+00	5.068569e+00
1.133333e+00	5.017581e+00
1.166667e+00	4.968109e+00
1.200000e+00	4.920063e+00
1.233333e+00	4.873356e+00
1.266667e+00	4.827908e+00
1.300000e+00	4.783646e+00
1.333333e+00	4.740500e+00
1.366667e+00	4.698406e+00
1.400000e+00	4.657306e+00
1.433333e+00	4.617145e+00
1.466667e+00	4.577872e+00
1.500000e+00	4.539444e+00
1.533333e+00	4.501817e+00
1.566667e+00	4.464952e+00
1.600000e+00	4.428818e+00
1.633333e+00	4.393383e+00
1.666667e+00	4.358617e+00
1.700000e+00	4.324497e+00
1.733333e+00	4.291000e+00
1.766667e+00	4.258102e+00
1.800000e+00	4.225788e+00
1.833333e+00	4.194038e+00
1.866667e+00	4.162834e+00
1.900000e+00	4.132163e+00
1.933333e+00	4.102008e+00
1.966667e+00	4.072355e+00
2.000000e+00	4.043189e+00
2.033333e+00	4.014497e+00
2.066667e+00	3.986265e+00
2.100000e+00	3.958481e+00
2.133333e+00	3.931130e+00
2.166667e+00	3.904201e+00
2.200000e+00	3.877682e+00
2.233334e+00	3.851560e+00
2.266667e+00	3.825825e+00
2.300000e+00	3.800465e+00
2.333333e+00	3.775470e+00
2.366667e+00	3.750829e+00
2.400000e+00	3.726532e+00
2.433333e+00	3.702571e+00
2.466667e+00	3.678935e+00
2.500000e+00	3.655617e+00
2.533333e+00	3.632608e+00
2.566667e+00	3.609899e+00
2.600000e+00	3.587484e+00
2.633333e+00	3.565354e+00
2.666667e+00	3.543502e+00
2.700000e+00	3.521922e+00
2.733333e+00	3.500607e+00
2.766667e+00	3.479550e+00
2.800000e+00	3.458745e+00
2.833333e+00	3.438187e+00
2.866667e+00	3.417868e+00
2.900000e+00	3.397785e+00
2.933333e+00	3.377932e+00
2.966667e+00	3.358302e+00
3.000000e+00	3.338892e+00
3.033333e+00	3.319697e+00
3.066667e+00	3.300711e+00
3.100000e+00	3.281931e+00
3.133333e+00	3.263351e+00
3.166667e+00	3.244968e+00
3.200000e+00	3.226778e+00
3.233333e+00	3.208776e+00
3.266667e+00	3.190958e+00
3.300000e+00	3.173322e+00
3.333333e+00	3.155863e+00
3.366667e+00	3.138577e+00
3.400000e+00	3.121462e+00
3.433333e+00	3.104514e+00
3.466667e+00	3.087729e+00
3.500000e+00	3.071105e+00
3.533333e+00	3.054639e+00
3.566667e+00	3.038327e+00
3.600000e+00	3.022167e+00
3.633333e+00	3.006157e+00
3.666667e+00	2.990292e+00
3.700000e+00	2.974571e+00
3.733334e+00	2.958990e+00
3.766667e+00	2.943549e+00
3.800000e+00	2.928243e+00
3.833333e+00	2.913071e+00
3.866667e+00	2.898030e+00
3.900000e+00	2.883119e+00
3.933333e+00	2.868335e+00
3.966667e+00	2.853674e+00
4.000000e+00	2.839137e+00
4.033333e+00	2.824721e+00
4.066667e+00	2.810423e+00
4.100000e+00	2.796242e+00
4.133333e+00	2.782176e+00
4.166667e+00	2.768222e+00
4.200000e+00	2.754380e+00
4.233333e+00	2.740648e+00
4.266667e+00	2.727022e+00
4.300000e+00	2.713504e+00
4.333333e+00	2.700089e+00
4.366667e+00	2.686777e+00
4.400000e+00	2.673567e+00
4.433333e+00	2.660456e+00
4.466667e+00	2.647443e+00
4.500000e+00	2.634527e+00
4.533333e+00	2.621707e+00
4.566667e+00	2.608980e+00
4.600000e+00	2.596346e+00
4.633334e+00	2.583803e+00
4.666667e+00	2.571350e+00
4.700000e+00	2.558986e+00
4.733333e+00	2.546709e+00
4.766667e+00	2.534518e+00
4.800000e+00	2.522412e+00
4.833333e+00	2.510391e+00
4.866667e+00	2.498451e+00
4.900000e+00	2.486593e+00
4.933333e+00	2.474816e+00
4.966667e+00	2.463117e+00
5.000000e+00	2.451497e+00
5.033333e+00	2.439955e+00
5.066667e+00	2.428488e+00
5.100000e+00	2.417097e+00
5.133333e+00	2.405780e+00
5.166667e+00	2.394536e+00
5.200000e+00	2.383364e+00
5.233333e+00	2.372264e+00
5.266667e+00	2.361234e+00
5.300000e+00	2.350274e+00
5.333333e+00	2.339383e+00
5.366667e+00	2.328559e+00
5.400000e+00	2.317802e+00
5.433333e+00	2.307112e+00
5.466667e+00	2.296487e+00
5.500000e+00	2.285927e+00
5.533333e+00	2.275430e+00
5.566667e+00	2.264996e+00
5.600000e+00	2.254625e+00
5.633333e+00	2.244316e+00
5.666667e+00	2.234067e+00
5.700000e+00	2.223878e+00
5.733333e+00	2.213749e+00
5.766667e+00	2.203678e+00
5.800000e+00	2.193665e+00
5.833333e+00	2.183710e+00
5.866667e+00	2.173812e+00
5.900000e+00	2.163969e+00
5.933333e+00	2.154183e+00
5.966667e+00	2.144450e+00
6.000000e+00	2.134772e+00
6.033333e+00	2.125148e+00
6.066666e+00	2.115577e+00
6.100000e+00	2.106058e+00
6.133333e+00	2.096591e+00
6.166667e+00	2.087175e+00
6.200000e+00	2.077811e+00
6.233333e+00	2.068496e+00
6.266667e+00	2.059231e+00
6.300000e+00	2.050015e+00
6.333333e+00	2.040848e+00
6.366667e+00	2.031729e+00
6.400000e+00	2.022658e+00
6.433333e+00	2.013633e+00
6.466667e+00	2.004655e+00
6.500000e+00	1.995724e+00
6.533333e+00	1.986838e+00
6.566666e+00	1.977998e+00
6.600000e+00	1.969202e+00
6.633333e+00	1.960450e+00
6.666667e+00	1.951742e+00
6.700000e+00	1.943078e+00
6.733333e+00	1.934457e+00
6.766667e+00	1.925878e+00
6.800000e+00	1.917342e+00
6.833333e+00	1.908847e+00
6.866666e+00	1.900394e+00
6.900000e+00	1.891981e+00
6.933333e+00	1.883609e+00
6.966667e+00	1.875277e+00
7.000000e+00	1.866985e+00
7.033333e+00	1.858733e+00
7.066667e+00	1.850519e+00
7.100000e+00	1.842344e+00
7.133333e+00	1.834207e+00
7.166666e+00	1.826109e+00
7.200000e+00	1.818047e+00
7.233333e+00	1.810024e+00
7.266667e+00	1.802036e+00
7.300000e+00	1.794086e+00
7.333333e+00	1.786172e+00
7.366666e+00	1.778294e+00
7.400000e+00	1.770451e+00
7.433334e+00	1.762643e+00
7.466667e+00	1.754870e+00
7.500000e+00	1.747132e+00
7.533333e+00	1.739429e+00
7.566666e+00	1.731759e+00
7.600000e+00	1.724123e+00
7.633334e+00	1.716520e+00
7.666666e+00	1.708951e+00
7.700000e+00	1.701415e+00
7.733333e+00	1.693911e+00
7.766666e+00	1.686439e+00
7.800000e+00	1.678999e+00
7.833334e+00	1.671591e+00
7.866666e+00	1.664215e+00
7.900000e+00	1.656869e+00
7.933333e+00	1.649555e+00
7.966666e+00	1.642271e+00
8.000001e+00	1.635017e+00
8.033333e+00	1.627794e+00
8.066666e+00	1.620601e+00
8.100000e+00	1.613437e+00
8.133333e+00	1.606303e+00
8.166667e+00	1.599198e+00
8.200000e+00	1.592122e+00
8.233333e+00	1.585075e+00
8.266666e+00	1.578056e+00
8.300000e+00	1.571065e+00
8.333334e+00	1.564102e+00
8.366666e+00	1.557168e+00
8.400000e+00	1.550260e+00
8.433334e+00	1.543380e+00
8.466666e+00	1.536528e+00
8.500001e+00	1.529702e+00
8.533333e+00	1.522903e+00
