freq(/um)	log10(PSD/nm^4)
3.333333e-02	8.234597e+00
6.666667e-02	8.234597e+00
9.999999e-02	8.234597e+00
1.333333e-01	8.234597e+00
1.666667e-01	8.172371e+00
2.000000e-01	8.098603e+00
2.333334e-01	8.046877e+00
2.666667e-01	8.063680e+00
3.000000e-01	8.039367e+00
3.333333e-01	7.951708e+00
3.666667e-01	7.836627e+00
4.000000e-01	7.843418e+00
4.333333e-01	7.755266e+00
4.666667e-01	7.746157e+00
5.000000e-01	7.775344e+00
5.333333e-01	7.702883e+00
5.666667e-01	7.665397e+00
6.000000e-01	7.710223e+00
6.333333e-01	7.679420e+00
6.666667e-01	7.640703e+00
7.000000e-01	7.622482e+00
7.333333e-01	7.581140e+00
7.666667e-01	7.571146e+00
8.000000e-01	7.561451e+00
8.333333e-01	7.479890e+00
8.666667e-01	7.479111e+00
9.000000e-01	7.542565e+00
9.333334e-01	7.463801e+00
9.666666e-01	7.361678e+00
1.000000e+00	7.400592e+00
1.033333e+00	7.438498e+00
1.066667e+00	7.371978e+00
1.100000e+00	7.398422e+00
1.133333e+00	7.354600e+00
1.166667e+00	7.319637e+00
1.200000e+00	7.288850e+00
1.233333e+00	7.334504e+00
1.266667e+00	7.339144e+00
1.300000e+00	7.294015e+00
1.333333e+00	7.248449e+00
1.366667e+00	7.280919e+00
1.400000e+00	7.229725e+00
1.433333e+00	7.224477e+00
1.466667e+00	7.204547e+00
1.500000e+00	7.204547e+00
1.533333e+00	7.247227e+00
1.566667e+00	7.197712e+00
1.600000e+00	7.238109e+00
1.633333e+00	7.195842e+00
1.666667e+00	7.181545e+00
1.700000e+00	7.217207e+00
1.733333e+00	7.203704e+00
1.766667e+00	7.128333e+00
1.800000e+00	7.117587e+00
1.833333e+00	7.128200e+00
1.866667e+00	7.094350e+00
1.900000e+00	7.132871e+00
1.933333e+00	7.132210e+00
1.966667e+00	7.101324e+00
2.000000e+00	7.069962e+00
2.033333e+00	7.174190e+00
2.066667e+00	7.162809e+00
2.100000e+00	7.094620e+00
2.133333e+00	7.101913e+00
2.166667e+00	7.045521e+00
2.200000e+00	7.064222e+00
2.233334e+00	7.041514e+00
2.266667e+00	7.030637e+00
2.300000e+00	6.999008e+00
2.333333e+00	6.990343e+00
2.366667e+00	7.008258e+00
2.400000e+00	7.010348e+00
2.433333e+00	6.973519e+00
2.466667e+00	7.030936e+00
2.500000e+00	6.994709e+00
2.533333e+00	6.978115e+00
2.566667e+00	6.958524e+00
2.600000e+00	6.911577e+00
2.633333e+00	6.927546e+00
2.666667e+00	6.914328e+00
2.700000e+00	6.926816e+00
2.733333e+00	6.948631e+00
2.766667e+00	6.901975e+00
2.800000e+00	6.931029e+00
2.833333e+00	6.929214e+00
2.866667e+00	6.919995e+00
2.900000e+00	6.903236e+00
2.933333e+00	6.887704e+00
2.966667e+00	6.874844e+00
3.000000e+00	6.824422e+00
3.033333e+00	6.834987e+00
3.066667e+00	6.861317e+00
3.100000e+00	6.889159e+00
3.133333e+00	6.868273e+00
3.166667e+00	6.857156e+00
3.200000e+00	6.856254e+00
3.233333e+00	6.770261e+00
3.266667e+00	6.772851e+00
3.300000e+00	6.821165e+00
3.333333e+00	6.787435e+00
